scientific_name,common_name,city,state,count,mean_h
Abies,Fir,Milwaukee,Wisconsin,31,
Pinus monticola,Western white pine,Seattle,Washington,31,
Quercus robur,English  oak,Oklahoma City,Oklahoma,31,105.834
Xylosma congestum,Xylosma,Las Vegas,Nevada,31,
Carya glabra,Pignut hickory,Columbus,Ohio,31,
Malus,Apple,Dexter,Iowa,31,
Ostrya virginiana,Ironwood,Sioux Falls,South Dakota,30,34.668
Quercus alba,White oak,Boston,Massachusetts,30,
Olea europaea,Olive,Irvine,California,30,
Styphnolobium japonicum,Japanese pagoda tree,Huntington Beach,California,30,2.734
Phoenix reclinata,Senegal date palm,Tampa,Florida,30,71.273
Quercus texana,Nuttall oak,Durham,North Carolina,30,
Cornus kousa,Kousa dogwood,Nashville,Tennessee,30,
Cornus kousa,Milky way dogwood,Seattle,Washington,30,
Liquidambar styraciflua,Leafed sweetgum round,Garden Grove,California,30,85.302
Albizia julibrissin,Silk tree mimosa,New Orleans,Louisiana,30,
Thuja occidentalis,Arborvitae,Sioux Falls,South Dakota,30,43.854
Betula nigra,River birch,Rochester,New York,30,
Quercus georgiana,Georgia oak,Durham,North Carolina,30,
Quercus alba,White oak,West Allis,Wisconsin,30,
Larix,Larch,Portland,Oregon,30,
Camellia,Camellia,Portland,Oregon,30,
Celtis occidentalis,Common hackberry,San Francisco,California,30,
Ceiba speciosa,Floss tree silk,Garden Grove,California,30,104.987
Cedrus deodara,Deodar cedar,Greensboro,North Carolina,30,8.194
Ceratonia siliqua,Carob,Garden Grove,California,30,108.268
Fraxinus velutina,Arizona ash,New Orleans,Louisiana,30,
Callistemon viminalis,Weeping bottlebrush,New Orleans,Louisiana,30,
Ginkgo biloba,ginko,Rochester,New York,30,
Casuarina cunninghamiana,Oak river she,Huntington Beach,California,30,3.609
Cercis canadensis,Eastern redbud,Irvine,California,30,
Ginkgo biloba,Maidenhair tree,Garden Grove,California,30,98.425
Salix matsudana,Globe willow,Denver,Colorado,30,
Celtis occidentalis,Chicagoland hackberry,Aurora,Colorado,30,
Betula papyrifera,Paper birch,Milwaukee,Wisconsin,30,
Corymbia citriodora,Lemon scented gum,San Francisco,California,30,
Carya tomentosa,Mockernut (carya tomentosa) hickory,Knoxville,Tennessee,30,
Pyrus calleryana,Jack pear,Denver,Colorado,30,
Picea glauca,White spruce,Wauwatosa,Wisconsin,30,
Acer rubrum,Red maple,Pleasant Hill,Iowa,30,
Prunus sargentii,Pink flair cherry,Buffalo,New York,30,
Prunus cerasifera,Cherry plum,Pittsburgh,Pennsylvania,30,42.651
Malus Mill.,Spring snow crabapple,Seattle,Washington,30,
Ilex attenuata,Fosters holly,St. Louis,Missouri,30,
Malus,Spring snow crabapple,Buffalo,New York,30,
Ilex aquifolium,English holly,Los Angeles,California,30,
Acer negundo,Sensation boxelder,Aurora,Colorado,30,
Ulmus parvifolia,Athena chinese elm,Columbus,Ohio,30,
Pinus echinata,Shortleaf pine,Greensboro,North Carolina,30,8.119
Acer freemanii,Freeman maple,Colorado Springs,Colorado,30,
Acer campestre,Metro gold maple (hedge),Seattle,Washington,30,
Populus,Poplar,San Francisco,California,30,
Populus,Cottonwood,Waukee,Iowa,30,
Washingtonia filifera,California fan palm,Huntington Beach,California,30,70.538
Magnolia soulangeana,Magnolia,Rancho Cucamonga,California,30,
Acacia longissima,None,Los Angeles,California,30,
Abies,Fir species,Rochester,New York,30,
Platanus,Plane/sycamore,Seattle,Washington,30,
Maclura pomifera,Osage orange,Washington DC,District of Columbia,30,
Pinus,Pine,Brown Deer,Wisconsin,30,
Crataegus viridis,Winter king hawthorne,Seattle,Washington,30,
Lagerstroemia indica,Crape myrtle,Greensboro,North Carolina,30,
Aesculus L.,Homestead buckeye,Denver,Colorado,30,
Cupressus glabra,Bark arizona cypress smooth,Los Angeles,California,30,
Picea,Spruce,San Francisco,California,30,
Aesculus hippocastanum,Bauman horsechestnut,Buffalo,New York,30,
Adonidia merrillii,Christmas palm,Orlando,Florida,30,
Acer tataricum,Tatarian maple,Sioux Falls,South Dakota,30,53.696
Pyrus calleryana,Capital pear,Seattle,Washington,30,
Prunus virginiana,Chokecherry,Buffalo,New York,30,
Juglans L.,Paradox walnut,Los Angeles,California,30,
Pyrus calleryana,Clevelland select callery pear,Detroit,Michigan,30,
Magnolia soulangiana,Saucer magnolia,Buffalo,New York,29,
Carya illinoinensis,Pecan,Anaheim,California,29,
Gleditsia tricanthos,Skyline honeylocust,Detroit,Michigan,29,
Acer ginnala,Amur maple,Milwaukee,Wisconsin,29,
Aesculus carnea,Ruby (red) horse chestnut,Seattle,Washington,29,
Thuja occidentalis,Northern white cedar,Prairie City,Iowa,29,
Acacia longifolia,Everblooming acacia,Los Angeles,California,29,
Aesculus pavia,Red buckeye,Columbus,Ohio,29,
Carya glabra,Pignut hickory,Tampa,Florida,29,103.553
Carya cordiformis,Bitternut hickory,Grand Rapids,Michigan,29,
Robinia pseudoacacia,Black locust,San Francisco,California,29,
Thuja occidentalis,American arborvitae,Stockton,California,29,
Magnolia stellata,Star magnolia,Columbus,Ohio,29,
Acer negundo,Box elder,Huntington Beach,California,29,0.0
Morus rubra,Red mulberry,Grand Rapids,Michigan,29,
Acer negundo,Boxelder,Albuquerque,New Mexico,29,84.573
Agonis flexuosa,Peppermint tree,Ontario,California,29,
Ligustrum,Privet,Denver,Colorado,29,
Betula populifolia,Gray birch,Buffalo,New York,29,
Schinus molle,California pepper,Stockton,California,29,
Macadamia integrifolia,Macadamia,Los Angeles,California,29,
Acer rubrum,October glory red maple,Detroit,Michigan,29,
Pinus radiata,Monterey pine,Stockton,California,29,
Acer pseudoplatanus,Sycamore maple,Boston,Massachusetts,29,
Acer saccharum,Sugar maple,Adel,Iowa,29,
Carica papaya,Papaya,New Orleans,Louisiana,29,
Salix,Willow,Stockton,California,29,
Tilia heterophylla,White basswood,Seattle,Washington,29,
Betula nigra,River birch,Madison,Wisconsin,29,
Acer platanoides,Columnar norway maple,Aurora,Colorado,29,
Olea,Olive,Garden Grove,California,29,88.243
Magnolia grandiflora,Majestic beauty magnolia,Seattle,Washington,29,
Maclura pomifera,Orange osage,New York,New York,29,
Tilia,Fruit tree,Rancho Cucamonga,California,29,
Carpinus betulus,Cutleaf hornbeam,Seattle,Washington,29,
Crataegus,Hawthorn,Glendale,Wisconsin,29,
Platycladus orientalis,Oriental arborvitae,Overland Park,Kansas,29,
Koelreuteria bipinnata,Chinese flame tree,New Orleans,Louisiana,29,
Fraxinus,Ash,Colfax,Iowa,29,
Quercus nigra,Water  oak,Oklahoma City,Oklahoma,29,143.565
Picea pungens,Colorado spruce,Aurora,Colorado,29,
Hibiscus syriacus,Common hibiscus,Seattle,Washington,29,
Quercus muehlenbergii,Chinkapin oak,Dallas,Texas,29,
Pyrus calleryana,Stonehill callery pear,Columbus,Ohio,29,
Ficus rubiginosa,Rusty leaf fig,Garden Grove,California,29,147.638
Photinia serrulata,Chinese photinia,Los Angeles,California,29,
Magnolia stellata,Star magnolia,St. Louis,Missouri,29,
Fagus grandifolia,American beech,Seattle,Washington,29,
Prosopis glandulosa,Mesquite or honey mesquite,Plano,Texas,29,
Cercis canadensis,Oklahoma redbud,Albuquerque,New Mexico,29,43.94
Quercus lyrata,Overcup oak,Detroit,Michigan,29,
Ficus carica,Common fig,Baltimore,Maryland,29,24.437
Fraxinus,Ash,Dexter,Iowa,29,
Picea,Species spruce,Buffalo,New York,29,
Elaeagnus angustifolia,Russian olive,Las Vegas,Nevada,29,
Fraxinus uhdei,Shamel ash,Garden Grove,California,29,194.022
Juglans nigra,Black walnut,Hales Corners,Wisconsin,29,
Ginkgo biloba,Emperor  ginkgo,Seattle,Washington,29,
Cryptomeria japonica,Japanese cedar,Greensboro,North Carolina,29,8.148
Cassine orientalis,False olive,Kaneohe,Hawaii,29,66.671
Picea omorika,Serbian spruce,Columbus,Ohio,29,
Celtis,Hackberry,Durham,North Carolina,29,16.404
Betula nigra,River  birch,Oklahoma City,Oklahoma,28,89.52
Quercus,Species oak,Buffalo,New York,28,
Acer negundo,Boxelder,St. Louis,Missouri,28,
Ulmus alata,Winged elm,None,Florida,28,86.942
Populus tremula,European aspen,Denver,Colorado,28,
Magnolia grandiflora,Majestic beauty magnolia,San Francisco,California,28,
Hymenosporum flavum,Sweetshade,San Diego,California,28,
Cydonia oblonga,Quince,Portland,Oregon,28,
Maclura pomifera,Osage orange,Rochester,New York,28,
Acer saccharum,Sugar maple,Monroe,Iowa,28,
Ulmus davidiana,Elmdiscovery,Sioux Falls,South Dakota,28,43.823
Crataegus douglasii,Black hawthorn,Denver,Colorado,28,
Taxodium mucronatum,Montezuma cypress,Los Angeles,California,28,
Gleditsia triacanthos,Thornless (gleditsia triacanthos inermis) honeylocust,Knoxville,Tennessee,28,
Cornus mas,Cornelian dogwood,Rochester,New York,28,
Acer tataricum,Tatarian maple,Colorado Springs,Colorado,28,
Pyrus calleryana,Whitehouse callery pear,Washington DC,District of Columbia,28,
Tilia cordata,Littleleaf linden,Albuquerque,New Mexico,28,73.36
Prunus cerasus,Montmorency cherry,Aurora,Colorado,28,
Thuja occidentalis,Northern white cedar,Boston,Massachusetts,28,
Corymbia ficifolia,Red flowering gum,Anaheim,California,28,
Ligustrum lucidum,Glossy privet,Orlando,Florida,28,
Gleditsia triacanthos,Honeylocust,South Milwaukee,Wisconsin,28,
Aesculus arnoldiana,Autum splendor buckeye,Louisville,Kentucky,28,
Prunus salicina,Japanese (fruiting) plum,Seattle,Washington,28,
Pyrus calleryana,Bradford pear,Austin,Texas,28,71.944
Tilia americana,American (basswood) linden,Glendale,Wisconsin,28,
Acer negundo,Boxelder,Colorado Springs,Colorado,28,
Acer saccharinum,Silver maple,Elkhart,Iowa,28,
Cocos nucifera,Coconut palm,Miami,Florida,28,
Salix discolor,Pussy willow,Los Angeles,California,28,
Washingtonia robusta,African sumac,Rancho Cucamonga,California,28,
Juniperus chinensis,Chinese juniper,Seattle,Washington,28,
Salix,Willow,Waukee,Iowa,28,
Halesia,Silverbell,Portland,Oregon,28,
Acacia pendula,Weeping myall,Los Angeles,California,28,
Salix,Willow,San Francisco,California,28,
Ginkgo biloba,Ginkgo,Watertown,Wisconsin,28,
Fraxinus ornus,Flowering ash,Rochester,New York,28,
Abies balsamea,Balsam fir,Buffalo,New York,28,
Catalpa speciosa,Northern (catalpa speciosa) catalpa,Knoxville,Tennessee,28,
Zelkova serrata,Wireless zelkova,Buffalo,New York,28,
Carpinus caroliniana,American (carpinus caroliniana) hornbeam,Knoxville,Tennessee,28,
Quercus rubra,Red oak,South Milwaukee,Wisconsin,28,
Lagerstroemia indica,Natchez crape myrtle,Fresno,California,28,
Rhaphiolepis,"Majestic beauty indian
hawthorne",New Orleans,Louisiana,28,
Zelkova serrata,Wireless zelkova,Seattle,Washington,28,
Quercus velutina,Black oak,Buffalo,New York,28,
Acer,Maple,Colfax,Iowa,28,
Callistemon,Bottlebrush,Anaheim,California,28,
Ficus elastica,Rubber plant,Orlando,Florida,28,
Ficus lyrata,Leaf fig fiddle,Honolulu,Hawaii,28,105.69
Sequoiadendron giganteum,California big tree,Los Angeles,California,28,
Acer griseum,Paperbark maple,Baltimore,Maryland,28,33.98
Acer ginnala,Amur maple,Nashville,Tennessee,28,
Magnolia grandiflora,Southern magnolia,Louisville,Kentucky,28,
Ficus citrifolia,Short leaf fig,Cape Coral,Florida,28,
Sapindus saponaria,Western soapberry,Houston,Texas,28,
Sambucus neomexicana,Elderberry,Huntington Beach,California,28,0.0
Sequoiadendron giganteum,Giant sequoia,Stockton,California,28,
Cercis canadensis,Forest pansy redbud,Anaheim,California,28,
Viburnum,Viburnum,Orlando,Florida,28,
Prunus serotina,Black cherry,St. Louis,Missouri,27,
Prunus serrulata,Japanese flowering cherry,New Orleans,Louisiana,27,
Magnolia virginiana,Sweetbay,Tampa,Florida,27,34.89
Acer saccharinum,Silver maple,Dallas,Texas,27,
Malus transitoria,Gold. rain crabapple,Rochester,New York,27,
Acer saccharinum,Silver maple,Bouton,Iowa,27,
Hamamelis,Witch hazel,Portland,Oregon,27,
Magnolia,Species magnolia,Buffalo,New York,27,
Magnolia,Deciduous magnolia,Greensboro,North Carolina,27,8.144
Acer platanoides,Norway maple,Louisville,Kentucky,27,
Acer freemanii,Freeman maple,Stockton,California,27,
Acacia cognata,River wattle,San Francisco,California,27,
Ficus macrophylla,Moreton bay fig,Anaheim,California,27,
Eucalyptus torquata,Coral gum,Anaheim,California,27,
Acer platanoides,Norway maple,Adair,Iowa,27,
Ficus macrophylla,Morton bay fig,San Francisco,California,27,
Populus fremontii,Fremont poplar,Denver,Colorado,27,
Carya ovata,Shagbark hickory,Cudahy,Wisconsin,27,
Acer saccharinum,Silver maple,Guthrie Center,Iowa,27,
Gleditsia triacanthos,Honeylocust,Franklin,Wisconsin,27,
Prunus virginiana,Common chokecherry,Pittsburgh,Pennsylvania,27,32.201
Chamaecyparis lawsoniana,Lawson falsecypress,Baltimore,Maryland,27,114.222
Schefflera actinophylla,Octopus tree,Kailua,Hawaii,27,57.111
Nerium oleander,Oleander,Huntington Beach,California,27,0.972
Leptospermum laevigatum,Australian tea tree,San Diego,California,27,
Salix nigra,Black willow,Baltimore,Maryland,27,66.224
Salix matsudana,Corkscrew willow,Irvine,California,27,
Laurus nobilis,Bay laurel,Portland,Oregon,27,
Cercis canadensis,Eastern redbud,Monroe,Iowa,27,
Salix babylonica,Weeping willow,Plano,Texas,27,
Nyssa sylvatica,Black tupelo,Overland Park,Kansas,27,
Callistemon viminalis,Weeping bottlebrush,Garden Grove,California,27,126.373
Cercis,Redbud,San Diego,California,27,
Persea americana,Fruit tree,Rancho Cucamonga,California,27,
Quercus nigra,Water oak,Tampa,Florida,27,112.441
Celtis occidentalis,Common hackberry,Greendale,Wisconsin,27,
Camellia japonica,Camellia,Seattle,Washington,27,
Quercus polymorpha,Monterey oak,Austin,Texas,27,67.196
Ceiba speciosa,Silk floss,Rancho Cucamonga,California,27,
Laburnum,Golden chain tree,Washington DC,District of Columbia,27,
Ostrya virginiana,American hophornbeam,St. Louis,Missouri,27,
Cassia nealiae,Rainbow shower,Waipahu,Hawaii,27,93.322
Cassia fistula,Golden shower,Kaneohe,Hawaii,27,96.603
Cinnamomum burmannii,Indonesian cinnamon,Kaneohe,Hawaii,27,56.989
Sequoia sempervirens,Redwood,San Diego,California,27,
Cornus,Dogwood,Durham,North Carolina,27,19.685
Phoenix sylvestris,Wild date palm,Tampa,Florida,27,93.443
Picea glauca,Black hills spruce,Denver,Colorado,27,
Acer saccharum,Sugar maple,Waukee,Iowa,27,
Prunus yedoensis,Yoshino cherry,Denver,Colorado,27,
Tilia cordata,Littleleaf linden,Richmond,Virginia,27,
Pseudotsuga menziesii,Douglas fir,San Francisco,California,27,
Quercus warei,Regal prince oak,Aurora,Colorado,27,
Juglans nigra,Black walnut,Stockton,California,27,
Ailanthus altissima,Tree of heaven (ailanthus altissima),Knoxville,Tennessee,27,
Albizia julibrissin,Mimosa,Las Vegas,Nevada,27,
Amelanchier,Serviceberry,New Berlin,Wisconsin,27,
Pittosporum tobira,Mock orange tobira,New Orleans,Louisiana,27,
Cornus florida,Flowering dogwood,Denver,Colorado,27,
Morus alba,White mulberry,Orlando,Florida,27,
Sorbus,Mountainash,Buffalo,New York,27,
Betula,Birch species,Rochester,New York,27,
Quercus,Oak:,Pittsburgh,Pennsylvania,27,16.769
Morella carolinensis,Southern bayberry,Orlando,Florida,26,
Phellodendron amurense,Amur corktree,Watertown,Wisconsin,26,
Magnolia stellata,Star magnolia,New Orleans,Louisiana,26,
Ligustrum lucidum,Tree (glossy) privet,Seattle,Washington,26,
Pinus eldarica,Afghan pine,Albuquerque,New Mexico,26,84.545
Pinus radiata,Monterey pine,Anaheim,California,26,
Pandanus tectorius,Hala,Honolulu,Hawaii,26,69.655
Hibiscus syriacus,Rose of sharon shrub,Rochester,New York,26,
Morus alba,White mulberry,Plano,Texas,26,
Handroanthus ochraceus,Golden trumpet tree,Kailua,Hawaii,26,78.993
Morus rubra,Red (morus rubra) mulberry,Knoxville,Tennessee,26,
Olea europaea,Fruitless olive,San Diego,California,26,
Malus,Apple,Woodward,Iowa,26,
Pinus halepensis,Allepo pine,San Francisco,California,26,
Pinus cembra,Pineswiss stone,Sioux Falls,South Dakota,26,14.89
Abies,Fir,Aurora,Colorado,26,
Juglans nigra,Black walnut,Wauwatosa,Wisconsin,26,
Ilex cassine,Myrtle dahoon,Tampa,Florida,26,47.383
Ilex attenuata,Foster holly,New Orleans,Louisiana,26,
Magnolia,Magnolia:,Pittsburgh,Pennsylvania,26,1.514
Pinus sabiniana,Gray pine,Anaheim,California,26,
Quercus rubra,Red oak,Greenfield,Wisconsin,26,
Acer saccharinum,Silver maple,Earlham,Iowa,26,
Acer saccharinum,Silver maple,Durham,North Carolina,26,
Ravenea rivularis,Majesty palm,Anaheim,California,26,
Populus,Cottonwood,Windsor Heights,Iowa,26,
Quercus suber,Oak,Rancho Cucamonga,California,26,
Geijera parviflora,Australian willow,Stockton,California,26,
Gingko biloba,Gingko prin sntry,Sioux Falls,South Dakota,26,31.799
Ulmus,Frontier elm,Aurora,Colorado,26,
Quercus coccinea,Scarlet oak,Buffalo,New York,26,
Fraxinus pennsylvanica,Green ash,Greenfield,Wisconsin,26,
Celtis occidentalis,Prai sent hkbry,Sioux Falls,South Dakota,26,61.326
Cercidiphyllum japonicum,Katsuratree,Baltimore,Maryland,26,60.822
Ulmus,Hybrid elm,Rochester,New York,26,
Pinus virginiana,Virginia (pinus virginiana) pine,Knoxville,Tennessee,26,
Ficus benjamina,Benjamin fig,Irvine,California,26,
Populus fremontii,Fremont cottonwood,Ontario,California,26,
Frangula alnus,Glossy buckthorn,Boston,Massachusetts,26,
Carya,Hickory,Houston,Texas,26,
Acer saccharinum,Silver maple,Pleasant Hill,Iowa,26,
Pittosporum tobira,Mock orange,Stockton,California,26,
Fraxinus pennsylvanica,Green ash,Mitchellville,Iowa,26,
Tabebuia aurea,Tree caribbean trumpet,Tampa,Florida,26,57.021
Araucaria araucana,Monkey puzzle,Portland,Oregon,26,
Aesculus glabra,Ohio buckeye,Rochester,New York,26,
Aesculus glabra,Ohio buckeye,Aurora,Colorado,26,
Aesculus carnea,Ruby red horsechestnut,Columbus,Ohio,26,
Aesculus carnea,Red horsechestnut,Buffalo,New York,26,
Platanus,Sycamore,New Berlin,Wisconsin,26,
Acer saccharum,Sugar maple,Prairie City,Iowa,26,
Sophora japonica,Japanese pagodatree,Columbus,Ohio,26,
Eucalyptus parvifolia,Leaved gum small,Los Angeles,California,26,
Brachychiton acerifolius,Australian flame tree,Huntington Beach,California,26,0.0
Acer saccharum,Sugar maple,Coon Rapids,Iowa,26,
Sassafras albidum,Sassafras,Columbus,Ohio,26,
Broussonetia papyrifera,Paper mulberry,Orlando,Florida,26,
Quercus coccinea,Scarlet oak,Greensboro,North Carolina,26,8.2
Thuja plicata,Western arborvitae,Baltimore,Maryland,26,53.881
Quercus bicolor,Swamp white oak,Wauwatosa,Wisconsin,26,
Acer negundo,Boxelder,Watertown,Wisconsin,26,
Wilsoniana,Wilson prpct elm,Sioux Falls,South Dakota,26,36.342
Pyrus,Pear,Earlham,Iowa,26,
Pyrus,Pear,Waukee,Iowa,26,
Quercus bicolor,Swamp white (quercus bicolor) oak,Knoxville,Tennessee,26,
Prunus,Cherry or plum,Milwaukee,Wisconsin,26,
Pyrus calleryana,Callery pear,Glendale,Wisconsin,26,
Pyrus communis,Edible pear,Los Angeles,California,26,
Pyrus communis,European pear,Louisville,Kentucky,26,
Cornus kousa,Kousa dogwood,Greensboro,North Carolina,26,8.134
Eucalyptus viminalis,Manna gum,San Francisco,California,26,
Pinus strobus,White pine,Watertown,Wisconsin,26,
Ulmus davidiana,Accolade hybrid elm,Columbus,Ohio,26,
Elaeagnus angustifolia,Oleaster russian olive,Seattle,Washington,26,
Ulmus americana,American elm,Pleasant Hill,Iowa,26,
Acer nigrum,Black maple,Baltimore,Maryland,26,114.198
Prunus cerasifera,Cherry plum,Colorado Springs,Colorado,26,
Grevillea robusta,Silk oak,Huntington Beach,California,26,0.0
Prunus ilicifolia,Catalina cherry,Huntington Beach,California,26,1.893
Punica granatum,Pomegranate,Houston,Texas,26,
Pinus strobus,White pine,Milwaukee,Wisconsin,26,
Araucaria columnaris,Star pine,Anaheim,California,25,
Stewartia pseudocamellia,Japanese stewartia,Washington DC,District of Columbia,25,
Archontophoenix alexandrae,Alexandra palm,Honolulu,Hawaii,25,82.808
Betula nigra,River birch,Milwaukee,Wisconsin,25,
Diospyros virginiana,Persimmon,Greensboro,North Carolina,25,8.151
Fraxinus americana,White ash,Stockton,California,25,
Prunus virginiana,Common chokecherry,Albuquerque,New Mexico,25,49.926
Ilex cornuta,Chinese holly,Baltimore,Maryland,25,51.837
Ilex L.,Fosters  holly,Oklahoma City,Oklahoma,25,40.682
Cupressocyparis leylandii,Leyland cypress,Durham,North Carolina,25,
Amelanchier alnifolia,Western (saskatoon) serviceberry,Seattle,Washington,25,
Taxus,Yew:,Pittsburgh,Pennsylvania,25,48.031
Thuja occidentalis,Arborvitae,Fox Point,Wisconsin,25,
Brachychiton discolor,Pink flame tree,Anaheim,California,25,
Prunus armeniaca,Apricot,San Francisco,California,25,
Ilex,Holly species,New Orleans,Louisiana,25,
Plumeria,Plumeria,Kaneohe,Hawaii,25,33.333
Fraxinus,Ash,Newton,Iowa,25,
Quercus hemisphaerica,Laurel oak darlington oak,Tampa,Florida,25,141.366
Quercus alba,White oak,Pleasant Hill,Iowa,25,
Coccoloba uvifera,Grape sea,Kailua,Hawaii,25,78.084
Quercus macrocarpa,Urban pinnacle oak,Seattle,Washington,25,
Cercis canadensis,Eastern redbud,Pleasant Hill,Iowa,25,
Quercus alba,White oak,Greenfield,Wisconsin,25,
Quercus,Oak,San Francisco,California,25,
Photinia,Photinia,Portland,Oregon,25,
Celtis occidentalis,Northern hackberry,Monroe,Iowa,25,
Celtis australis,European hackberry,Los Angeles,California,25,
Parrotia persica,Persian parrotia,Louisville,Kentucky,25,
Cedrus,Cedar,Denver,Colorado,25,
Casuarina equisetifolia,Ironwood grove,Kailua,Hawaii,25,177.559
Cassia leptophylla,Gold medallion tree,Irvine,California,25,
Quercus,Oak,Anaheim,California,25,
Pinus clausa,Sand pine,Tampa,Florida,25,112.095
Quercus undulata,Wavy leaf oak,Denver,Colorado,25,
Carya ovata,Shagbark hickory,Baltimore,Maryland,25,88.714
Juglans nigra,Black walnut,Woodward,Iowa,25,
Rhaphiolepis,Indian hawthorne,Anaheim,California,25,
Sabal palmetto,Cabbage palm,None,Florida,25,74.672
Populus deltoides,Cottonwood,Rancho Cucamonga,California,25,
Prunus caroliniana,Carolina laurel cherry,Stockton,California,25,
Acer negundo,Boxelder,Aurora,Colorado,25,
Metasequoia glyptostroboides,Dawn (metasequoia glyptostroboides) redwood,Knoxville,Tennessee,25,
Pinus sylvestris,Scots pine,New York,New York,25,
Acer saccharum,Sugar maple,Dexter,Iowa,25,
Acer freemanii,Sierra gleen freeman maple,Detroit,Michigan,25,
Acer buergerianum,Trident maple,New Orleans,Louisiana,25,
Malus,Velvet pillar crabapple,Detroit,Michigan,25,
Malus,Apple,Windsor Heights,Iowa,25,
Acer,Maple,San Francisco,California,25,
Platanus acerifolia,Bloodgood london plane,Seattle,Washington,25,
Magnolia loebneri,Merrill magnolia,Columbus,Ohio,25,
Malus tschonoskii,Crabapple,Oak Creek,Wisconsin,25,
Acer platanoides,Norway maple,Greenfield,Wisconsin,25,
Aesculus glabra,Ohio buckeye,Milwaukee,Wisconsin,25,
Acer platanoides,Norway maple,Earlham,Iowa,25,
Aesculus pavia,Red buckeye,Baltimore,Maryland,25,39.37
Acacia baileyana,Bailey acacia,Stockton,California,25,
Acer rubrum,Red maple,Dallas Center,Iowa,25,
Triadica sebifera,Chinese tallow,Austin,Texas,25,95.538
Gleditsia triacanthos,Honeylocust (gleditsia triacanthos),Knoxville,Tennessee,25,
Gleditsia triacanthos,Honeylcst skyline,Sioux Falls,South Dakota,25,63.255
Quercus bicolor,Swamp white oak,Newton,Iowa,24,
Magnolia denudata,Yulan magnolia,Seattle,Washington,24,
Lagerstroemia,Crapemyrtle,Nashville,Tennessee,24,
Ficus carica,Fig,Rancho Cucamonga,California,24,
Quercus coccinea,Oak,Rancho Cucamonga,California,24,
Acer palmatum,Japanese maple,Ontario,California,24,
Quercus frainetto,Trump italian oak,Seattle,Washington,24,
Quercus macrocarpa,Bur oak,Dallas Center,Iowa,24,
Acer platanoides,Norway maple,Hales Corners,Wisconsin,24,
Cercis canadensis,Forest pansy redbud,San Francisco,California,24,
Quercus rubra,Red oak,San Francisco,California,24,
Quercus robur,English oak,Pittsburgh,Pennsylvania,24,48.666
Magnolia acuminata,Cucumbertree magnolia,Pittsburgh,Pennsylvania,24,9.296
Persea americana,Avocado,New Orleans,Louisiana,24,
Koelreuteria paniculata,Golden raintree,Cape Coral,Florida,24,
Populus,Poplar,Milwaukee,Wisconsin,24,
Celtis occidentalis,Northern hackberry,Woodward,Iowa,24,
Magnolia,Magnolia,Overland Park,Kansas,24,
Pinus eldarica,Pine,Rancho Cucamonga,California,24,
Quercus palustris,Pin oak,Los Angeles,California,24,
Celtis reticulata,Western hackberry,Las Vegas,Nevada,24,
Thuja plicata,Red cedar western,Stockton,California,24,
Ulmus americana,American elm,Milwaukee,Wisconsin,24,
Picea abies,Norway weeping spruce,Denver,Colorado,24,
Pinus,Pine,Santa Rosa,California,24,121.664
Abies concolor,White fir,Seattle,Washington,24,
Ilex cornuta,Chinese holly,Houston,Texas,24,
Zelkova,Zelkova,Detroit,Michigan,24,
Prunus persica,Peach,Huntington Beach,California,24,1.777
Ilex verticillata,Winterberry holly,Baltimore,Maryland,24,14.9
Prunus armeniaca,Apricot,Houston,Texas,24,
Picea pungens,Blue spruce,Wauwatosa,Wisconsin,24,
Malus,Adirondack crabapple,Buffalo,New York,24,
Jacaranda acutifolia,Jacaranda,Orlando,Florida,24,
Malus,Apple,Carlisle,Iowa,24,
Prunus yedoensis,Daybreak yoshino cherry,San Francisco,California,24,
Pseudotsuga menziesii,Fir douglas,Madison,Wisconsin,24,
Acer palmatum,Japanese maple,Dallas,Texas,24,
Punica granatum,Pomegranate,New Orleans,Louisiana,24,
Pyrus calleryana,Bradford pear,Anaheim,California,24,
Fagus grandifolia,American beech,Boston,Massachusetts,24,
Crataegus laevigata,Crimson cloud hawthorn,Denver,Colorado,24,
Crataegus douglasii,Black hawthorn,Seattle,Washington,24,
Crataegus,Hawthorn,Overland Park,Kansas,24,
Cotinus,Smoke tree,Buffalo,New York,24,
Gymnocladus dioicus,Kentucky coffeetree,Durham,North Carolina,24,26.247
Fagus sylvatica,Fern leaf beech,Seattle,Washington,24,
Tsuga canadensis,Eastern (canadian) hemlock,Seattle,Washington,24,
Cornus controversa,June snow dogwood,Seattle,Washington,24,
Cornus alternifolia,Dogwoodpagoda,Sioux Falls,South Dakota,24,15.037
Malus ioensis,Prairie crabapple,Seattle,Washington,24,
Celtis occidentalis,Northern hackberry,Earlham,Iowa,24,
Betula populifolia,Gray birch,Seattle,Washington,24,
Acer saccharum,Maplsug fal fies,Sioux Falls,South Dakota,24,46.752
Pittosporum viridiflorum,Cape pittosporum,Anaheim,California,24,
Metasequoia glyptostroboides,Dawn redwood,Durham,North Carolina,24,
Tilia cordata,Corinthian linden,Aurora,Colorado,24,
Betula pendula,European white birch,Ontario,California,24,
Araucaria heterophylla,Norfolk island pine,Cape Coral,Florida,24,
Fraxinus americana,White ash,Nashville,Tennessee,24,
Sorbus thuringiaca,Oakleaf mountain ash,Denver,Colorado,24,
Alnus glutinosa,Black alder,Sioux Falls,South Dakota,24,36.773
